,QD,YD,XIRR-1,XIRR-3,XIRR-5,XIRR-10,XIRR-INC,myCustomInterval
A7A131,0.05503344337199079,0.05503344337199079,,,,,0.05476933332368428,
A7A140,0.0831067366998528,0.0831067366998528,,,,,0.09963999999999884,
A7A145,0.08588242429259507,0.08588242429259507,0.13444897174594628,0.0349864307207981,,,0.036625899082404434,-0.07547768210881967
A7A146,0.0627738844432475,0.0627738844432475,0.08760167770499439,0.07296116264982166,,,0.07807531851521965,-0.044084507219589564
A7A150,0.03967189939994431,0.03967189939994431,0.167489031499505,,,,0.10175414517240666,-0.00182399940862632
A7A151,0.09136107027057694,0.09136107027057694,0.2117558620085105,,,,0.06846202848994998,-0.02633030132080283
A7A155,-0.0002657001170047746,-0.0002657001170047746,-0.0010590536397453443,,,,0.5544607323952397,-0.001060140952509947
A7A161,0.09110629411112181,0.09110629411112181,,,,,0.17600348238077834,
A7A165,,,,,,,,
A7A174,0.09079315816873446,0.09079315816873446,0.20092871369969734,,,,0.096824886965865,
A7A181,0.08664119001383108,0.08664119001383108,0.20611700414349166,,,,0.07670046572913214,-0.03202706536501598
A7A190,0.09222950231731986,0.09222950231731986,0.17622090385877098,,,,0.05118836556414785,-0.03413660968152832
A7A200,0.06663778218340388,0.06663778218340388,0.15260002249859972,,,,0.04661039178607518,-0.032382220048195576
A7A210,0.09249662843552686,0.09249662843552686,0.20713381495649608,,,,0.05802079959076201,-0.029821521554144637
A7A211,0.08163926035209235,0.08163926035209235,0.15160840049217228,,,,0.015373335851733616,-0.06145044745513917
A7A220,0.09271282792806534,0.09271282792806534,0.20478133422582157,,,,0.051407497605163055,-0.032877557813098646
A7A230,0.059417568541203725,0.059417568541203725,0.14004831141649876,,,,0.0835411406738551,-0.04967555832812598
A7EA11,0.09134635206660491,0.09134635206660491,0.20226968866715644,0.09561074764886102,,,0.11354482061915117,-0.029064418226234512
A7EA24,0.09251517307260504,0.09251517307260504,0.19135502255049963,0.0694792719555597,,,0.09611488661893497,-0.04546697687182211
A7P001,0.09489540341109959,0.09489540341109959,0.21086520967122668,0.10095066071078795,,,0.12573607676281662,-0.033489621474093956
